"artist_hotttnesss","artist_name","year"
0.524859203619,"Built To Spill",1993
0.484566708419,"Kansas",1976
0.452877325796,"The Young Knives",2008
0.493950113329,"Pavement",1992
0.369991231256,"Charlie Hunter",2005
0.440784422474,"Danny Vaughn",2007
0.387537923524,"Gabriela Anders",1998
0.448072252962,"Kenny Rogers & Kim Carnes",1990
0.630749652277,"Demon Hunter",2005
0.566349576707,"Katatonia",2009
0.408793151312,"Padi",2001
0.42594804717,"Donny Osmond",2008
0.278794508952,"Gorch Fock",2005
0.378627322027,"Susanna Hoffs",1991
0.326743977314,"Appliance",2002
0.508807733945,"Impaled Nazarene",1996
0.401073220894,"Fruit Bats",2005
0.578772833679,"Katatonia",2003
0.624335868417,"Nirvana",1968
0.508807733945,"Impaled Nazarene",1996
0.349000590393,"Earl Hooker",1975
0.355974358947,"J. B. Lenoir",2003
0.408716004941,"Fabrizio De Andrè",1973
0.37642939672,"Jape",2004
0.531157063062,"Converge",2009
0.408793151312,"Padi",2007
0.493950113329,"Pavement",1993
0.428565389458,"Rio En Medio",2008
0.502974636418,"Steel Pulse feat. Capleton",2004
0.536320726586,"Gretchen Wilson",2010
0.334711392704,"DJ Flavours",2000
0.508807733945,"Impaled Nazarene",2007
0.624002191836,"Demon Hunter",2002
0.60172975571,"Deftones",2010
0.408716004941,"Fabrizio De Andrè",1965
0.413791733502,"Big Cyc",2008
0.392393714205,"Paul Cardall",1997
0.357279209347,"Captain & Tennille",1977
0.392393714205,"Paul Cardall",2003
0.324927817391,"Consolidated",1990
0.324927817391,"Consolidated",1991
0.326743977314,"Appliance",2003
0.38385137459,"Karen Clark Sheard",2006
0.37682338971,"Glossary",2010
0.476680307078,"Dagoba",2006
0.419627904202,"Barbara Mason",2003
0.493950113329,"Pavement",1999
0.408793151312,"Padi",2005
0.400194226864,"Jimmy Nail",1994
0.630749652277,"Demon Hunter",2004
0.541383261936,"Hard-FI",2004
0.306681119225,"John Littlejohn",2000
0.326743977314,"Appliance",1999
0.336637591111,"Thee S.T.P.",2002
0.336637591111,"Thee S.T.P.",2002
0.370295221755,"Slapp Happy",1974
0.384327716288,"GG Allin",2000
0,"Mc Créu",2008
0.387911598984,"HA-ASH",2008
0.538070295124,"Savage Garden",1996
0.42594804717,"Donny Osmond",2007
0.541383261936,"Hard-FI",2006
0.379250523231,"Klovner I Kamp",1999
0.60172975571,"Deftones",2005
0.384327716288,"GG Allin",1999
0.286567249122,"The Bonzo Dog Band",1992
0.286567249122,"The Bonzo Dog Band",1972
0.450332978279,"Filo & Peri",2004
0.356122889114,"PRE",2007
0.372924066321,"Piccola Bottega Baltazar",2002
0.370295221755,"Slapp Happy",1974
